Freq (Hz),S11_mag,S11_phase,S12_mag,S12_phase,S21_mag,S21_phase,S22_mag,S22_phase
3213.0653266331656,-16.423656945846197,-0.28966763122239136,-40.549891624100106,-0.3386659277062425,40.81721766585034,-0.14260748159981254,36.752972895162955,-0.47172030545473265
3242.713567839196,-17.93374624084596,-0.3239680129943117,-38.997624325743836,-0.3554531377940903,38.87055603250935,-0.3377088690356411,5.820066484882278,-0.2968863643816774
3272.361809045226,-18.23871728954866,-0.2960065057825405,-40.70299671942572,-0.30503009281774435,41.459222883036986,-0.7067453772736391,2.2249183658491556,-0.40694792323191376
3302.010050251256,-16.620670840603925,-0.32350077100427604,-36.93334372597373,-0.3852797754466914,36.70585651968546,-0.09461030303933239,6.482241195941876,-0.7752816225309406
3331.6582914572864,-17.049428778666616,-0.26729992247272094,-33.648056607500294,-0.30481654199959807,33.41193584523622,-0.25043972703184647,5.352708923951514,-1.2541279494244466
3361.3065326633164,-17.161851784728878,-0.3651015001576544,-28.906795665417295,-0.4299736635561638,29.166162825014755,-0.1631980069001211,-2.73025622710025,-2.041948862629509
3390.954773869347,-19.093801501447704,-0.7913118834453522,-28.102012963736467,-0.8491686523782362,27.697699319655214,-0.6854245506873098,-5.094667424250286,-2.494064615762634
3420.603015075377,-19.241749852387024,-0.5716098757308599,-34.81741985158464,-0.6021052271812057,34.47373167684221,-0.557343724865357,2.9262251933637344,-0.013051216072217523
3450.2512562814068,-16.688828526083768,-0.24809501948617244,-38.40176745976913,-0.30561799846728405,38.14408769433419,-0.11262324935646091,-0.3820647735860059,-0.0072596083260754824
3479.899497487437,-16.488266273381523,-0.16081048776302015,-39.69036083754928,-0.18686825966313983,39.73221262330955,-0.2131740703108419,2.468840258383143,-0.0062763868786590285
3509.547738693467,-18.94702124163279,-0.38252449935967586,-42.880422363232576,-0.40457003139669295,42.900290944963345,-0.8137882417162844,6.056488534301185,-0.006829093722021123
3539.1959798994976,-18.32743089701729,-0.4175831790746826,-36.36468062909975,-0.42452839371697,35.92961015469923,-0.36668671419048665,30.303711469160394,-0.3633437231486344
3568.8442211055276,-16.817536905839674,-0.36894488654529156,-32.8643323285505,-0.43843171098014855,33.257236891643615,-0.16047077965192996,1.7716045399948186,-1.8967847362617503
3598.4924623115576,-17.67727072393735,-0.3191261726119028,-34.27066044234179,-0.3847415826502526,34.24745945841416,-0.3861519912491059,-0.30656676493281765,-1.1851337623551612
3628.140703517588,-16.05888524366777,-0.3242750440662695,-26.017789301926296,-0.4636075407783863,25.882782533543587,-0.11576597293755235,-5.093755250275622,-2.2613216675112917
3657.788944723618,-18.813856798784055,-0.619051927716013,-12.546205335076632,-0.7496708023939398,12.021532762079094,-0.6737045039561623,-26.646765376998967,-0.34121595392346665
3687.437185929648,-12.692010406162685,-0.5152741392661065,-22.284688098368157,0.04315234833320445,22.049050400799786,-2.317348571163694,-8.635474966387624,-0.04937798587656082
3717.0854271356784,-16.585801220327394,-0.2435866231189344,-19.99404267776189,-1.453794919798885,20.421663294994545,-1.3626102634582884,-7.4658167784832985,-0.141010640271282
3746.7336683417084,-16.99710979196865,-0.3712274207282715,-31.771507520124274,-0.44830552565162746,31.722302136826755,-0.13474805804352447,-1.8944942999459216,-0.00527266390032959
3776.3819095477384,-16.613987670719833,-0.25354352304917904,-36.6080700073302,-0.2705455886258958,36.68115283904347,-0.17067508813731289,-1.0392189382501662,0.0008822256770706911
3806.030150753769,-16.999971448197705,-0.3367502700306419,-35.70969030566583,-0.37403938517684665,35.79277775424576,-0.20196768244735303,-1.0519480392651313,-0.00016195745068833602
3835.678391959799,-17.626783678220203,-0.311595718993036,-29.270938614054636,-0.2932319598804229,29.261220128539577,-0.2551611899583296,0.16690367227471148,0.006205710725476159
3865.326633165829,-17.63579529466594,-0.34550411539134024,-22.491001684409287,-0.4469510934393116,22.920355004644502,-0.31167455550672624,18.315661038268974,-0.27498254783010423
3894.974874371859,-17.8852228905761,-0.4148865812680795,-21.9031314396028,-0.46345300793345323,21.89600025918214,-0.26965241516369803,-8.75348342591869,-2.0202842353527752
3924.623115577889,-18.64906465261105,-0.49219948123622365,-4.998750915351103,-1.3902028278481866,5.112051322530991,-0.9917539945197168,-30.168266714119603,-0.5535289498338425
3954.2713567839196,-19.080496113625205,-0.6781596895480707,-33.408895053578945,-0.8015969602758403,33.47276516330242,-1.054490754739371,-6.31266534370667,-0.03885246492882506
3983.9195979899496,-18.860364024677622,-0.6191612649027597,-39.751280468874135,-0.7057953010234916,39.202844425695666,-1.4312440482626703,-2.7795477693330826,-0.024746964190524863
4013.56783919598,-16.579718208674812,-0.17061729904004264,-33.93129392904364,-1.3940208106307541,33.98446749290414,-1.2708761287891381,-1.0852851108494541,-0.02663856498945695
4043.21608040201,-19.1940883752666,-0.9438907412151626,-23.591612108547167,-0.5234321326105049,23.126053035313767,-1.041558261141803,3.680305044147663,-0.35833364206131324
4072.86432160804,-19.420576764191644,-0.523780153155279,-35.99394279328213,-0.5246676944328872,36.058920953249306,-0.43203116331523145,-5.106731714394071,-0.00904103293279812
4102.51256281407,-15.845948245308492,-0.16339395663958342,-28.585717718070228,-0.20518006300288472,28.669047488443017,-0.1513917773069079,-7.428001253862328,0.0009465618672294145
4132.160804020101,-18.010818431170968,-0.7840034656994335,-19.24990340725216,-0.7456190884701062,19.044987491800384,-1.0015164012020588,-17.390300215585498,-0.02249922338721814
4161.80904522613,-18.827959346989424,-0.7686321194732071,-24.574332797235808,-0.9600649535712528,24.173398614753445,-0.6781876969635268,-5.811751537850521,-0.07339266642425536
4191.457286432161,-18.53205540628459,-0.31212214376230163,-27.355361506077813,-1.3895021975847848,27.6771581649127,-0.8890280225783473,12.294893231054665,-0.19688839669799071
4221.105527638191,-16.61521835213597,-0.18449558933920465,-27.795653059759626,-1.1774814840613352,27.617740639135697,-1.299906074475641,-2.8824507671914485,-0.05405339763672795
4250.753768844221,-18.26721272338028,-0.534145782107212,-37.42806512519315,-0.7469787117583059,38.24006230654901,-1.2868816222743742,-0.7246088150839848,-0.032552185073701057
4280.402010050251,-4.879488368435714,-1.0651892528892217,-37.68779998420632,-0.26240554777457253,37.42280326424619,-0.07830841497221036,0.19543189770572258,-0.023565797086069925
